C:\Users\jonathans\PycharmProjects\PSSEDYN\SampleSystem\OUT\out_dyntools_demo_bus154_fault.out
                     1              2              21             22      
        Time(s) ANGL 2[BUS 2 1 ANGL 3[BUS 3 1 VOLT 2 [BUS 2  VOLT 3 [BUS 3 
                       8.000]1        3.800]1        18.000]        13.800]
        1.45833       -93.0542       -79.3343       0.969156        1.07416
        1.46667       -93.0694       -79.3492       0.969146        1.07416
          1.475       -93.0848       -79.3642       0.969135        1.07415
        1.48333       -93.1002       -79.3792       0.969125        1.07414
        1.49167       -93.1158       -79.3945       0.969114        1.07413
            1.5       -93.1315       -79.4098       0.969104        1.07412
        1.50833       -93.1473       -79.4252       0.969093        1.07411
        1.51667       -93.1633       -79.4408       0.969082         1.0741
          1.525       -93.1793       -79.4564       0.969072         1.0741
        1.53333       -93.1955       -79.4722       0.969061        1.07409
        1.54167       -93.2118       -79.4881       0.969051        1.07408
           1.55       -93.2281       -79.5041        0.96904        1.07407
        1.55833       -93.2447       -79.5202        0.96903        1.07406
        1.56667       -93.2613       -79.5364       0.969019        1.07405
          1.575        -93.278       -79.5528       0.969009        1.07405
        1.58333       -93.2949       -79.5692       0.968998        1.07404
        1.59167       -93.3118       -79.5858       0.968987        1.07403
            1.6       -93.3289       -79.6025       0.968977        1.07402
        1.60833       -93.3461       -79.6193       0.968966        1.07401
        1.61667       -93.3634       -79.6362       0.968956          1.074
          1.625       -93.3808       -79.6533       0.968945        1.07399
        1.63333       -93.3983       -79.6704       0.968935        1.07399
        1.64167       -93.4159       -79.6876       0.968924        1.07398
           1.65       -93.4337        -79.705       0.968914        1.07397
        1.65833       -93.4515       -79.7225       0.968903        1.07396
        1.66667       -93.4695       -79.7401       0.968893        1.07395
          1.675       -93.4876       -79.7578       0.968882        1.07394
        1.68333       -93.5058       -79.7756       0.968872        1.07394
        1.69167       -93.5241       -79.7936       0.968861        1.07393
            1.7       -93.5425       -79.8116       0.968851        1.07392
        1.70833        -93.561       -79.8298        0.96884        1.07391
        1.71667       -93.5797        -79.848        0.96883         1.0739
          1.725       -93.5984       -79.8664        0.96882        1.07389
        1.73333       -93.6173       -79.8849       0.968809        1.07389
        1.74167       -93.6362       -79.9035       0.968799        1.07388
           1.75       -93.6553       -79.9222       0.968789        1.07387
        1.75833       -93.6745        -79.941       0.968778        1.07386
        1.76667       -93.6938         -79.96       0.968768        1.07385
          1.775       -93.7132        -79.979       0.968758        1.07384
        1.78333       -93.7327       -79.9981       0.968748        1.07384
        1.79167       -93.7524       -80.0174       0.968738        1.07383
            1.8       -93.7721       -80.0368       0.968728        1.07382
        1.80833       -93.7919       -80.0563       0.968718        1.07381
        1.81667       -93.8119       -80.0759       0.968708         1.0738
          1.825       -93.8319       -80.0956       0.968698         1.0738
        1.83333       -93.8521       -80.1154       0.968688        1.07379
        1.84167       -93.8724       -80.1353       0.968678        1.07378
           1.85       -93.8928       -80.1553       0.968668        1.07377
        1.85833       -93.9133       -80.1755       0.968658        1.07376
        1.86667       -93.9339       -80.1957       0.968648        1.07376
          1.875       -93.9546       -80.2161       0.968639        1.07375
        1.88333       -93.9754       -80.2365       0.968629        1.07374
        1.89167       -93.9963       -80.2571       0.968619        1.07373
            1.9       -94.0173       -80.2778        0.96861        1.07372
        1.90833       -94.0385       -80.2986         0.9686        1.07372
        1.91667       -94.0597       -80.3195       0.968591        1.07371
          1.925       -94.0811       -80.3405       0.968581         1.0737
        1.93333       -94.1025       -80.3616       0.968572        1.07369
        1.94167       -94.1241       -80.3828       0.968563        1.07369
           1.95       -94.1457       -80.4041       0.968553        1.07368
        1.95833       -94.1675       -80.4255       0.968544        1.07367
        1.96667       -94.1894        -80.447       0.968535        1.07366
          1.975       -94.2113       -80.4687       0.968526        1.07366
        1.98333       -94.2334       -80.4904       0.968517        1.07365
        1.99167       -94.2556       -80.5123       0.968508        1.07364
              2       -94.2779       -80.5342       0.968499        1.07363
        2.00833       -94.3003       -80.5563        0.96849        1.07363
        2.01667       -94.3228       -80.5784       0.968482        1.07362
          2.025       -94.3454       -80.6007       0.968473        1.07361
        2.03333       -94.3681       -80.6231       0.968464         1.0736
        2.04167       -94.3909       -80.6456       0.968456         1.0736
           2.05       -94.4138       -80.6681       0.968447        1.07359
        2.05833       -94.4368       -80.6908       0.968439        1.07358
        2.06667       -94.4599       -80.7136        0.96843        1.07358
          2.075       -94.4831       -80.7365       0.968422        1.07357
        2.08333       -94.5064       -80.7595       0.968414        1.07356
        2.09167       -94.5299       -80.7826       0.968406        1.07356
            2.1       -94.5534       -80.8058       0.968398        1.07355
        2.10833        -94.577       -80.8291        0.96839        1.07354
        2.11667       -94.6007       -80.8525       0.968381        1.07354
          2.125       -94.6245        -80.876       0.968374        1.07353
        2.13333       -94.6484       -80.8996       0.968366        1.07352
        2.14167       -94.6724       -80.9233       0.968358        1.07352
           2.15       -94.6966       -80.9471       0.968351        1.07351
        2.15833       -94.7208        -80.971       0.968343         1.0735
        2.16667       -94.7451        -80.995       0.968336         1.0735
          2.175       -94.7695       -81.0192       0.968328        1.07349
